Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ALIGN,mscoco,Txt-Txt,Pos,0.7746236
ALIGN,mscoco,Txt-Txt,Pos,0.6308058
ALIGN,mscoco,Txt-Txt,Pos,0.8373815
ALIGN,mscoco,Txt-Txt,Pos,0.5983668
ALIGN,mscoco,Txt-Txt,Pos,0.7582565
ALIGN,mscoco,Txt-Txt,Pos,0.65840685
ALIGN,mscoco,Txt-Txt,Pos,0.76944894
ALIGN,mscoco,Txt-Txt,Pos,0.5199749
ALIGN,mscoco,Txt-Txt,Pos,0.71302783
ALIGN,mscoco,Txt-Txt,Pos,0.74547666
ALIGN,mscoco,Txt-Txt,Pos,0.602809
ALIGN,mscoco,Txt-Txt,Pos,0.6715775
ALIGN,mscoco,Txt-Txt,Pos,0.62675345
ALIGN,mscoco,Txt-Txt,Pos,0.6894487
ALIGN,mscoco,Txt-Txt,Pos,0.77180547
ALIGN,mscoco,Txt-Txt,Pos,0.6765334
ALIGN,mscoco,Txt-Txt,Pos,0.47521377
ALIGN,mscoco,Txt-Txt,Pos,0.5770685
ALIGN,mscoco,Txt-Txt,Pos,0.5281017
ALIGN,mscoco,Txt-Txt,Pos,0.74486035
ALIGN,mscoco,Txt-Txt,Pos,0.80125815
ALIGN,mscoco,Txt-Txt,Pos,0.76921475
ALIGN,mscoco,Txt-Txt,Pos,0.638198
ALIGN,mscoco,Txt-Txt,Pos,0.59411037
ALIGN,mscoco,Txt-Txt,Pos,0.7462846
ALIGN,mscoco,Txt-Txt,Pos,0.6218881
ALIGN,mscoco,Txt-Txt,Pos,0.788276
ALIGN,mscoco,Txt-Txt,Pos,0.7957386
ALIGN,mscoco,Txt-Txt,Pos,0.7523207
ALIGN,mscoco,Txt-Txt,Pos,0.7496969
ALIGN,mscoco,Txt-Txt,Pos,0.779254
ALIGN,mscoco,Txt-Txt,Pos,0.6886317
ALIGN,mscoco,Txt-Txt,Pos,0.6420555
ALIGN,mscoco,Txt-Txt,Pos,0.63635594
ALIGN,mscoco,Txt-Txt,Pos,0.67704576
ALIGN,mscoco,Txt-Txt,Pos,0.5615969
ALIGN,mscoco,Txt-Txt,Pos,0.92650706
ALIGN,mscoco,Txt-Txt,Pos,0.65481824
ALIGN,mscoco,Txt-Txt,Pos,0.6474713
ALIGN,mscoco,Txt-Txt,Pos,0.748943
ALIGN,mscoco,Txt-Txt,Pos,0.7895383
ALIGN,mscoco,Txt-Txt,Pos,0.8039404
ALIGN,mscoco,Txt-Txt,Pos,0.6767241
ALIGN,mscoco,Txt-Txt,Pos,0.64199257
ALIGN,mscoco,Txt-Txt,Pos,0.83794975
ALIGN,mscoco,Txt-Txt,Pos,0.8201407
ALIGN,mscoco,Txt-Txt,Pos,0.7713184
ALIGN,mscoco,Txt-Txt,Pos,0.7648152
ALIGN,mscoco,Txt-Txt,Pos,0.72742456
ALIGN,mscoco,Txt-Txt,Pos,0.5782533
ALIGN,mscoco,Txt-Txt,Pos,0.6287724
ALIGN,mscoco,Txt-Txt,Pos,0.7140749
ALIGN,mscoco,Txt-Txt,Pos,0.673303
ALIGN,mscoco,Txt-Txt,Pos,0.5911513
ALIGN,mscoco,Txt-Txt,Pos,0.67783886
ALIGN,mscoco,Txt-Txt,Pos,0.92459404
ALIGN,mscoco,Txt-Txt,Pos,0.7234856
ALIGN,mscoco,Txt-Txt,Pos,0.67355037
ALIGN,mscoco,Txt-Txt,Pos,0.6625512
ALIGN,mscoco,Txt-Txt,Pos,0.6280619
ALIGN,mscoco,Txt-Txt,Pos,0.60474503
ALIGN,mscoco,Txt-Txt,Pos,0.7522902
ALIGN,mscoco,Txt-Txt,Pos,0.7110413
ALIGN,mscoco,Txt-Txt,Pos,0.69714105
ALIGN,mscoco,Txt-Txt,Pos,0.7843674
ALIGN,mscoco,Txt-Txt,Pos,0.7193303
ALIGN,mscoco,Txt-Txt,Pos,0.5701614
ALIGN,mscoco,Txt-Txt,Pos,0.86732244
ALIGN,mscoco,Txt-Txt,Pos,0.6757828
ALIGN,mscoco,Txt-Txt,Pos,0.7018725
ALIGN,mscoco,Txt-Txt,Pos,0.79275554
ALIGN,mscoco,Txt-Txt,Pos,0.5244331
ALIGN,mscoco,Txt-Txt,Pos,0.64100194
ALIGN,mscoco,Txt-Txt,Pos,0.57973564
ALIGN,mscoco,Txt-Txt,Pos,0.7010072
ALIGN,mscoco,Txt-Txt,Pos,0.6856545
ALIGN,mscoco,Txt-Txt,Pos,0.6290734
ALIGN,mscoco,Txt-Txt,Pos,0.73784316
ALIGN,mscoco,Txt-Txt,Pos,0.6824704
ALIGN,mscoco,Txt-Txt,Pos,0.58303857
ALIGN,mscoco,Txt-Txt,Pos,0.6657287
ALIGN,mscoco,Txt-Txt,Pos,0.7563293
ALIGN,mscoco,Txt-Txt,Pos,0.74699557
ALIGN,mscoco,Txt-Txt,Pos,0.7593589
ALIGN,mscoco,Txt-Txt,Pos,0.68989843
ALIGN,mscoco,Txt-Txt,Pos,0.655329
ALIGN,mscoco,Txt-Txt,Pos,0.65834945
ALIGN,mscoco,Txt-Txt,Pos,0.53582156
ALIGN,mscoco,Txt-Txt,Pos,0.83398575
ALIGN,mscoco,Txt-Txt,Pos,0.87854147
ALIGN,mscoco,Txt-Txt,Pos,0.7758745
ALIGN,mscoco,Txt-Txt,Pos,0.68880486
ALIGN,mscoco,Txt-Txt,Pos,0.69492644
ALIGN,mscoco,Txt-Txt,Pos,0.6575411
ALIGN,mscoco,Txt-Txt,Pos,0.6745474
ALIGN,mscoco,Txt-Txt,Pos,0.5969648
ALIGN,mscoco,Txt-Txt,Pos,0.8555902
ALIGN,mscoco,Txt-Txt,Pos,0.70356435
ALIGN,mscoco,Txt-Txt,Pos,0.6986019
ALIGN,mscoco,Txt-Txt,Pos,0.6399933
ALIGN,mscoco,Txt-Txt,Pos,0.6147853
ALIGN,mscoco,Txt-Txt,Pos,0.6442791
ALIGN,mscoco,Txt-Txt,Pos,0.70432544
ALIGN,mscoco,Txt-Txt,Pos,0.6132541
ALIGN,mscoco,Txt-Txt,Pos,0.61722636
ALIGN,mscoco,Txt-Txt,Pos,0.6594316
ALIGN,mscoco,Txt-Txt,Pos,0.6292505
ALIGN,mscoco,Txt-Txt,Pos,0.67927384
ALIGN,mscoco,Txt-Txt,Pos,0.6882815
ALIGN,mscoco,Txt-Txt,Pos,0.6930098
ALIGN,mscoco,Txt-Txt,Pos,0.6205356
ALIGN,mscoco,Txt-Txt,Pos,0.7243287
ALIGN,mscoco,Txt-Txt,Pos,0.71516526
ALIGN,mscoco,Txt-Txt,Pos,0.6974669
ALIGN,mscoco,Txt-Txt,Pos,0.71044385
ALIGN,mscoco,Txt-Txt,Pos,0.6854606
ALIGN,mscoco,Txt-Txt,Pos,0.8511374
ALIGN,mscoco,Txt-Txt,Pos,0.69746953
ALIGN,mscoco,Txt-Txt,Pos,0.69899076
ALIGN,mscoco,Txt-Txt,Pos,0.63580465
ALIGN,mscoco,Txt-Txt,Pos,0.7086431
ALIGN,mscoco,Txt-Txt,Pos,0.7302081
ALIGN,mscoco,Txt-Txt,Pos,0.6756928
