Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.46203783
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5346849
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72036994
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7486626
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8116275
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.57867837
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.586699
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5653852
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4627446
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.717495
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6095388
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.9073015
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.59035933
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65209305
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5427077
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.58645546
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.66775763
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.49810308
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5370587
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.53722715
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5834379
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.43086237
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64300287
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.655408
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6207347
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.56541693
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.56510764
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.49359232
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64608496
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.63403493
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6304431
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.624
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4097484
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.77490723
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72009087
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8166793
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.52803195
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6206815
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7457025
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.66345274
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5507781
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6515323
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.43618378
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5543704
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.41708323
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4281593
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.615877
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.50967145
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.73431605
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6356398
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.674384
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4185973
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6353506
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5124022
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.69151103
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6128471
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64856964
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.57848454
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4626792
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72165585
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6653579
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.73536175
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5061248
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.791962
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.54664046
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8920989
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.76872385
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6629893
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.83217007
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.53279936
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.57887006
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.61392266
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4953646
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.9112562
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.53283226
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6859225
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.60017335
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.82448745
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7065357
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5184445
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.54257905
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65506387
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.80653965
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7144855
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8279259
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6573751
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6358865
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.58690774
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6320505
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6578407
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.50556666
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65460837
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6606327
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.45161057
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.85254204
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.79308873
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.59480095
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.82828474
