Model,Dataset,x,y,modality,category
FLAVA,mscoco,-10.16,8.96,text,beigel
FLAVA,mscoco,-9.44,8.69,text,beigel
FLAVA,mscoco,-4.16,3.71,text,beigel
FLAVA,mscoco,-10.11,4.36,text,beigel
FLAVA,mscoco,-5.14,2.06,text,beigel
FLAVA,mscoco,-10.43,9.81,text,beigel
FLAVA,mscoco,-7.21,6.73,text,beigel
FLAVA,mscoco,-5.38,5.94,text,beigel
FLAVA,mscoco,-6.60,4.31,text,beigel
FLAVA,mscoco,-6.89,5.00,text,beigel
FLAVA,mscoco,-5.35,3.33,text,beigel
FLAVA,mscoco,-9.17,3.69,text,beigel
FLAVA,mscoco,-7.62,3.36,text,beigel
FLAVA,mscoco,-9.59,4.36,text,beigel
FLAVA,mscoco,-6.64,2.98,text,beigel
FLAVA,mscoco,-8.46,9.14,text,beigel
FLAVA,mscoco,-5.32,4.23,text,beigel
FLAVA,mscoco,-8.48,5.93,text,beigel
FLAVA,mscoco,-10.16,5.69,text,beigel
FLAVA,mscoco,-8.09,0.98,text,beigel
FLAVA,mscoco,-9.64,5.11,text,beigel
FLAVA,mscoco,-8.30,-0.11,text,beigel
FLAVA,mscoco,-8.91,2.05,text,beigel
FLAVA,mscoco,-6.12,4.34,text,beigel
FLAVA,mscoco,-6.95,1.07,text,beigel
FLAVA,mscoco,-7.51,5.50,text,beigel
FLAVA,mscoco,-9.41,6.05,text,beigel
FLAVA,mscoco,-8.66,9.15,text,beigel
FLAVA,mscoco,-9.52,3.14,text,beigel
FLAVA,mscoco,-9.11,1.94,text,beigel
FLAVA,mscoco,-10.05,7.18,text,beigel
FLAVA,mscoco,-6.17,4.66,text,beigel
FLAVA,mscoco,-5.95,5.42,text,beigel
FLAVA,mscoco,-4.81,3.09,text,beigel
FLAVA,mscoco,-5.02,3.84,text,beigel
FLAVA,mscoco,-4.60,3.21,text,beigel
FLAVA,mscoco,-7.84,5.22,text,beigel
FLAVA,mscoco,-5.39,3.56,text,beigel
FLAVA,mscoco,-7.83,3.74,text,beigel
FLAVA,mscoco,-6.14,5.78,text,beigel
FLAVA,mscoco,-8.62,5.48,text,beigel
FLAVA,mscoco,-9.30,1.76,text,beigel
FLAVA,mscoco,-8.50,1.94,text,beigel
FLAVA,mscoco,-9.05,5.87,text,beigel
FLAVA,mscoco,-9.59,4.16,text,beigel
FLAVA,mscoco,-4.53,4.68,text,beigel
FLAVA,mscoco,-4.74,3.85,text,beigel
FLAVA,mscoco,-7.97,1.98,text,beigel
FLAVA,mscoco,-1.07,-32.77,text,racquet
FLAVA,mscoco,0.32,-30.49,text,racquet
FLAVA,mscoco,-1.53,-30.62,text,racquet
FLAVA,mscoco,-5.11,-29.95,text,racquet
FLAVA,mscoco,-1.43,-29.75,text,racquet
FLAVA,mscoco,-5.34,-30.96,text,racquet
FLAVA,mscoco,-6.13,-27.80,text,racquet
FLAVA,mscoco,-1.50,-30.64,text,racquet
FLAVA,mscoco,-1.41,-32.64,text,racquet
FLAVA,mscoco,-4.77,-26.58,text,racquet
FLAVA,mscoco,-0.76,-30.68,text,racquet
FLAVA,mscoco,-0.28,-28.65,text,racquet
FLAVA,mscoco,-2.82,-30.48,text,racquet
FLAVA,mscoco,-1.30,-29.69,text,racquet
FLAVA,mscoco,-2.53,-32.69,text,racquet
FLAVA,mscoco,-1.71,-28.08,text,racquet
FLAVA,mscoco,-2.59,-29.57,text,racquet
FLAVA,mscoco,-2.71,-28.30,text,racquet
FLAVA,mscoco,-3.02,-31.10,text,racquet
FLAVA,mscoco,-5.52,-26.94,text,racquet
FLAVA,mscoco,-2.01,-31.47,text,racquet
FLAVA,mscoco,-2.43,-33.16,text,racquet
FLAVA,mscoco,0.06,-32.32,text,racquet
FLAVA,mscoco,-6.13,-26.87,text,racquet
FLAVA,mscoco,-2.58,-32.10,text,racquet
FLAVA,mscoco,-6.15,-27.72,text,racquet
FLAVA,mscoco,-1.19,-31.78,text,racquet
FLAVA,mscoco,-1.94,-29.86,text,racquet
FLAVA,mscoco,-1.64,-31.61,text,racquet
FLAVA,mscoco,0.60,-30.49,text,racquet
FLAVA,mscoco,-2.91,-29.48,text,racquet
FLAVA,mscoco,-1.47,-26.75,text,racquet
FLAVA,mscoco,-1.48,-30.02,text,racquet
FLAVA,mscoco,-4.78,-27.56,text,racquet
FLAVA,mscoco,-3.99,-26.76,text,racquet
FLAVA,mscoco,-5.60,-27.47,text,racquet
FLAVA,mscoco,-0.26,-29.40,text,racquet
FLAVA,mscoco,-3.43,-27.77,text,racquet
FLAVA,mscoco,-4.03,-27.58,text,racquet
FLAVA,mscoco,-4.64,-28.55,text,racquet
FLAVA,mscoco,-1.29,-29.20,text,racquet
FLAVA,mscoco,-4.99,-27.50,text,racquet
FLAVA,mscoco,-5.60,-28.40,text,racquet
FLAVA,mscoco,-4.30,-27.03,text,racquet
FLAVA,mscoco,-0.73,-31.90,text,racquet
FLAVA,mscoco,-4.97,-31.04,text,racquet
FLAVA,mscoco,-4.57,-26.31,text,racquet
FLAVA,mscoco,-4.11,-30.97,text,racquet
FLAVA,mscoco,-3.47,-32.31,text,racquet
FLAVA,mscoco,-4.25,-29.40,text,racquet
FLAVA,mscoco,20.21,11.74,text,microwave oven
FLAVA,mscoco,14.97,11.09,text,microwave oven
FLAVA,mscoco,18.62,11.17,text,microwave oven
FLAVA,mscoco,18.08,10.75,text,microwave oven
FLAVA,mscoco,17.14,8.78,text,microwave oven
FLAVA,mscoco,18.60,10.33,text,microwave oven
FLAVA,mscoco,17.59,14.29,text,microwave oven
FLAVA,mscoco,18.65,9.05,text,microwave oven
FLAVA,mscoco,14.93,15.55,text,microwave oven
FLAVA,mscoco,18.82,9.76,text,microwave oven
FLAVA,mscoco,18.17,7.75,text,microwave oven
FLAVA,mscoco,19.11,7.82,text,microwave oven
FLAVA,mscoco,20.51,11.45,text,microwave oven
FLAVA,mscoco,18.47,9.47,text,microwave oven
FLAVA,mscoco,17.71,14.16,text,microwave oven
FLAVA,mscoco,15.49,11.68,text,microwave oven
FLAVA,mscoco,17.53,10.41,text,microwave oven
FLAVA,mscoco,17.32,12.36,text,microwave oven
FLAVA,mscoco,16.08,16.05,text,microwave oven
FLAVA,mscoco,19.12,11.13,text,microwave oven
FLAVA,mscoco,18.96,13.36,text,microwave oven
FLAVA,mscoco,15.02,10.42,text,microwave oven
FLAVA,mscoco,19.35,15.14,text,microwave oven
FLAVA,mscoco,20.24,13.35,text,microwave oven
FLAVA,mscoco,16.33,8.47,text,microwave oven
FLAVA,mscoco,19.09,12.98,text,microwave oven
FLAVA,mscoco,17.81,10.98,text,microwave oven
FLAVA,mscoco,18.40,13.16,text,microwave oven
FLAVA,mscoco,16.40,11.37,text,microwave oven
FLAVA,mscoco,16.03,11.68,text,microwave oven
FLAVA,mscoco,17.93,11.70,text,microwave oven
FLAVA,mscoco,15.26,13.88,text,microwave oven
FLAVA,mscoco,17.36,15.95,text,microwave oven
FLAVA,mscoco,16.19,12.32,text,microwave oven
FLAVA,mscoco,16.76,14.72,text,microwave oven
FLAVA,mscoco,14.92,15.62,text,microwave oven
FLAVA,mscoco,19.02,10.91,text,microwave oven
FLAVA,mscoco,19.49,9.64,text,microwave oven
FLAVA,mscoco,16.48,10.34,text,microwave oven
FLAVA,mscoco,19.29,15.02,text,microwave oven
FLAVA,mscoco,17.34,13.21,text,microwave oven
FLAVA,mscoco,16.71,15.24,text,microwave oven
FLAVA,mscoco,16.13,16.28,text,microwave oven
FLAVA,mscoco,17.27,12.53,text,microwave oven
FLAVA,mscoco,17.89,9.93,text,microwave oven
FLAVA,mscoco,15.27,13.62,text,microwave oven
FLAVA,mscoco,14.70,12.26,text,microwave oven
FLAVA,mscoco,19.05,12.59,text,microwave oven
FLAVA,mscoco,18.81,13.46,text,microwave oven
FLAVA,mscoco,18.82,12.02,text,microwave oven
FLAVA,mscoco,8.82,-13.30,text,umbrella
FLAVA,mscoco,6.50,-18.11,text,umbrella
FLAVA,mscoco,-4.07,-24.70,text,umbrella
FLAVA,mscoco,4.92,-9.39,text,umbrella
FLAVA,mscoco,6.26,-15.56,text,umbrella
FLAVA,mscoco,8.03,-11.46,text,umbrella
FLAVA,mscoco,5.63,-14.24,text,umbrella
FLAVA,mscoco,4.97,-15.82,text,umbrella
FLAVA,mscoco,6.03,-14.22,text,umbrella
FLAVA,mscoco,7.70,-13.42,text,umbrella
FLAVA,mscoco,-1.57,-13.15,text,umbrella
FLAVA,mscoco,8.93,-12.60,text,umbrella
FLAVA,mscoco,9.90,-13.35,text,umbrella
FLAVA,mscoco,7.22,-13.12,text,umbrella
FLAVA,mscoco,3.44,-15.86,text,umbrella
FLAVA,mscoco,6.47,-18.06,text,umbrella
FLAVA,mscoco,7.42,-15.63,text,umbrella
FLAVA,mscoco,7.01,-14.97,text,umbrella
FLAVA,mscoco,8.30,-12.77,text,umbrella
FLAVA,mscoco,2.67,-14.26,text,umbrella
FLAVA,mscoco,10.12,-13.46,text,umbrella
FLAVA,mscoco,11.04,-12.83,text,umbrella
FLAVA,mscoco,6.52,-11.08,text,umbrella
FLAVA,mscoco,10.30,-12.92,text,umbrella
FLAVA,mscoco,9.83,-13.95,text,umbrella
FLAVA,mscoco,4.76,-17.68,text,umbrella
FLAVA,mscoco,9.26,-10.52,text,umbrella
FLAVA,mscoco,6.97,-15.37,text,umbrella
FLAVA,mscoco,8.95,-11.58,text,umbrella
FLAVA,mscoco,5.19,-15.30,text,umbrella
FLAVA,mscoco,6.47,-16.30,text,umbrella
FLAVA,mscoco,5.63,-16.81,text,umbrella
FLAVA,mscoco,6.16,-13.94,text,umbrella
FLAVA,mscoco,8.99,-13.00,text,umbrella
FLAVA,mscoco,3.04,-12.56,text,umbrella
FLAVA,mscoco,4.96,-10.40,text,umbrella
FLAVA,mscoco,-2.26,-4.91,text,umbrella
FLAVA,mscoco,7.24,-11.77,text,umbrella
FLAVA,mscoco,4.29,-15.84,text,umbrella
FLAVA,mscoco,4.04,-16.60,text,umbrella
FLAVA,mscoco,6.85,-10.15,text,umbrella
FLAVA,mscoco,7.06,-9.86,text,umbrella
FLAVA,mscoco,2.73,-13.04,text,umbrella
FLAVA,mscoco,4.64,-15.80,text,umbrella
FLAVA,mscoco,5.48,-10.15,text,umbrella
FLAVA,mscoco,5.64,-16.79,text,umbrella
FLAVA,mscoco,6.84,-11.11,text,umbrella
FLAVA,mscoco,7.10,-11.65,text,umbrella
FLAVA,mscoco,4.65,-15.53,text,umbrella
FLAVA,mscoco,2.74,-15.01,text,umbrella
